Date,Total sources,Sources with issues,Correct sources
2018-07-17,41,9,32
2018-07-18,41,9,32
2018-07-19,41,9,32
2018-07-20,41,9,32
2018-07-23,41,9,32
2018-07-24,41,9,32
2018-07-25,41,9,32
2018-07-26,41,9,32
2018-07-27,41,9,32
2018-07-30,41,9,32
2018-07-31,41,9,32
2018-08-01,41,9,32
2018-08-02,41,9,32
2018-08-03,41,9,32
2018-08-06,41,9,32
2018-08-07,41,9,32
2018-08-08,41,9,32
2018-08-09,41,9,32
2018-08-10,41,9,32
2018-08-13,41,9,32
2018-08-14,41,9,32
2018-08-15,41,9,32
2018-08-17,41,9,32
2018-08-20,41,9,32
2018-08-21,41,9,32
2018-08-22,41,9,32
2018-08-22,41,9,32
2018-08-23,41,9,32
2018-08-24,41,9,32
2018-08-27,41,9,32
2018-08-28,41,9,32
2018-08-29,41,9,32
2018-08-30,41,9,32
2018-08-31,41,9,32
2018-09-03,41,9,32
2018-09-04,41,9,32
2018-09-05,41,4,37
2018-09-06,41,4,37
2018-09-06,41,1,40
2018-09-07,41,1,40
2018-09-10,41,1,40
2018-09-11,41,1,40
2018-09-12,41,1,40
2018-09-13,41,1,40
2018-09-14,41,1,40
2018-09-17,41,1,40
2018-09-19,41,1,40
2018-09-20,41,1,40
2018-09-21,41,1,40
2018-09-21,41,1,40
2018-09-24,41,1,40
2018-09-25,41,1,40
2018-09-26,41,1,40
2018-09-27,41,1,40
2018-09-28,41,1,40
2018-10-01,41,1,40
2018-10-02,41,2,39
2018-10-03,41,1,40
2018-10-04,41,1,40
2018-10-05,41,1,40
2018-10-08,41,1,40
2018-10-09,41,1,40
2018-10-10,41,1,40
2018-10-11,41,1,40
2018-10-12,41,1,40
2018-10-15,41,1,40
2018-10-16,41,1,40
2018-10-17,41,1,40
2018-10-18,41,1,40
2018-10-19,41,1,40
2018-10-22,41,1,40
2018-10-23,41,1,40
2018-10-24,41,1,40
2018-10-25,41,1,40
2018-10-26,41,1,40
2018-10-31,41,1,40
2018-11-01,41,1,40
2018-11-02,41,1,40
2018-11-05,41,1,40
2018-11-06,41,1,40
2018-11-07,41,1,40
2018-11-08,41,1,40
2018-11-09,41,1,40
2018-11-12,41,0,41
2018-11-13,41,0,41
2018-11-14,41,0,41
2018-11-15,41,0,41
2018-11-16,41,0,41
2018-11-19,41,0,41
2018-11-20,41,0,41
2018-11-21,41,0,41
2018-11-22,41,0,41
2018-11-23,41,0,41
2018-11-26,41,0,41
2018-11-27,41,0,41
2018-11-28,41,0,41
2018-11-29,41,0,41
2018-11-30,41,0,41
2018-12-03,41,0,41
2018-12-04,42,0,42
2018-12-05,42,0,42
2018-12-06,42,0,42
2018-12-07,42,0,42
2018-12-10,42,0,42
2018-12-11,42,0,42
2018-12-12,42,0,42
2018-12-13,42,0,42
2018-12-14,42,0,42
2018-12-18,42,0,42
2018-12-19,42,0,42
2018-12-20,42,0,42
2018-12-21,42,0,42
2019-01-01,42,0,42
2019-01-02,42,0,42
2019-01-03,42,0,42
2019-01-04,42,0,42
2019-01-07,42,0,42
2019-01-08,42,0,42
2019-01-09,42,0,42
2019-01-10,42,0,42
2019-01-11,42,0,42
2019-01-14,42,0,42
2019-01-15,42,0,42
2019-01-16,42,0,42
2019-01-17,42,0,42
2019-01-18,42,0,42
2019-01-21,42,0,42
2019-01-22,42,0,42
2019-01-23,42,0,42
2019-01-24,42,0,42
2019-01-25,42,0,42
2019-01-28,42,0,42
2019-01-29,42,0,42
2019-01-30,42,0,42
2019-01-31,42,0,42
2019-02-01,42,0,42
2019-02-04,42,0,42
2019-02-05,42,0,42
2019-02-06,42,0,42
2019-02-07,42,0,42
2019-02-08,42,0,42
2019-02-18,42,0,42
2019-02-19,42,0,42
2019-02-20,42,0,42
2019-02-21,42,0,42
2019-02-22,42,0,42
