Date,Total sources,Sources with issues,Correct sources
2018-07-18,8,2,6
2018-07-19,8,2,6
2018-07-20,8,2,6
2018-07-23,8,2,6
2018-07-24,8,2,6
2018-07-25,8,2,6
2018-07-26,8,2,6
2018-07-27,8,2,6
2018-07-30,8,2,6
2018-07-31,8,2,6
2018-08-01,8,0,8
2018-08-02,8,0,8
2018-08-03,8,0,8
2018-08-06,8,0,8
2018-08-07,8,0,8
2018-08-08,8,0,8
2018-08-09,8,0,8
2018-08-10,8,0,8
2018-08-13,8,0,8
2018-08-14,8,0,8
2018-08-15,8,0,8
2018-08-17,8,0,8
2018-08-20,8,0,8
2018-08-21,8,0,8
2018-08-22,8,0,8
2018-08-22,8,0,8
2018-08-23,8,0,8
2018-08-24,8,0,8
2018-08-27,8,0,8
2018-08-28,8,0,8
2018-08-29,8,0,8
2018-08-30,8,0,8
2018-08-31,8,0,8
2018-09-03,8,0,8
2018-09-04,8,0,8
2018-09-05,8,0,8
2018-09-06,8,0,8
2018-09-06,8,0,8
2018-09-07,8,0,8
2018-09-10,8,0,8
2018-09-11,8,0,8
2018-09-12,8,0,8
2018-09-13,8,0,8
2018-09-14,8,0,8
2018-09-17,8,0,8
2018-09-19,8,0,8
2018-09-20,8,0,8
2018-09-21,8,0,8
2018-09-21,8,0,8
2018-09-24,8,0,8
2018-09-25,8,0,8
2018-09-26,8,0,8
2018-09-27,8,0,8
2018-09-28,8,0,8
2018-10-01,8,0,8
2018-10-02,8,0,8
2018-10-03,8,0,8
2018-10-04,8,0,8
2018-10-05,8,0,8
2018-10-08,8,0,8
2018-10-09,8,0,8
2018-10-10,8,0,8
2018-10-11,8,0,8
2018-10-12,8,0,8
2018-10-15,8,0,8
2018-10-16,8,0,8
2018-10-17,8,0,8
2018-10-18,8,0,8
2018-10-19,8,0,8
2018-10-22,8,0,8
2018-10-23,8,0,8
2018-10-24,8,0,8
2018-10-25,8,0,8
2018-10-26,8,0,8
2018-10-31,8,0,8
2018-11-01,8,0,8
2018-11-02,8,0,8
2018-11-05,8,0,8
2018-11-06,8,0,8
2018-11-07,8,0,8
2018-11-08,8,0,8
2018-11-09,8,0,8
2018-11-12,8,0,8
2018-11-13,8,0,8
2018-11-14,8,0,8
2018-11-15,8,0,8
2018-11-16,8,0,8
2018-11-19,8,0,8
2018-11-20,8,0,8
2018-11-21,8,0,8
2018-11-22,8,0,8
2018-11-23,8,0,8
2018-11-26,8,0,8
2018-11-27,8,0,8
2018-11-28,8,0,8
2018-11-29,8,0,8
2018-11-30,8,0,8
2018-12-03,8,0,8
2018-12-04,8,0,8
2018-12-05,8,0,8
2018-12-06,8,0,8
2018-12-07,8,0,8
2018-12-10,8,0,8
2018-12-11,8,0,8
2018-12-12,8,0,8
2018-12-13,8,0,8
2018-12-14,8,0,8
2018-12-18,8,0,8
2018-12-19,8,0,8
2018-12-20,8,0,8
2018-12-21,8,0,8
2019-01-01,8,0,8
2019-01-02,8,0,8
2019-01-03,8,0,8
2019-01-04,8,0,8
2019-01-07,8,0,8
2019-01-08,8,0,8
2019-01-09,8,0,8
2019-01-10,8,0,8
2019-01-11,8,0,8
2019-01-14,8,0,8
2019-01-15,8,0,8
2019-01-16,8,0,8
2019-01-17,8,0,8
2019-01-18,8,0,8
2019-01-21,8,0,8
2019-01-22,8,0,8
2019-01-23,8,0,8
2019-01-24,8,0,8
2019-01-25,8,0,8
2019-01-28,8,0,8
2019-01-29,8,0,8
2019-01-30,8,0,8
2019-01-31,8,0,8
2019-02-01,8,0,8
2019-02-04,8,0,8
2019-02-05,8,0,8
2019-02-06,8,0,8
2019-02-07,8,0,8
2019-02-08,8,0,8
2019-02-18,8,0,8
2019-02-19,8,0,8
2019-02-20,8,0,8
2019-02-21,8,0,8
2019-02-22,8,0,8
2019-02-25,8,0,8
2019-02-26,8,0,8
2019-02-27,8,0,8
2019-02-28,8,0,8
2019-03-01,8,0,8
2019-03-04,8,0,8
2019-03-05,8,0,8
2019-03-06,8,0,8
2019-03-07,8,0,8
2019-03-08,8,0,8
2019-03-11,8,0,8
2019-03-12,8,0,8
2019-03-13,8,0,8
2019-03-14,8,0,8
2019-03-15,8,0,8
